S.No,Date,Description,Zoho Amount,Bank Amount,Type,Label,Decision Path,Action,Urgent
1,01/01/2026,Opening Balance,"₹240,000.00","₹247,850.50",Type D,"Opening balance mismatch (diff: ₹7,850.50)",In bank: YES | In Zoho: YES | Prior-period item: YES,Reconcile prior-quarter closing balance. Post prior-period adjustment journal to correct Zoho opening balance.,Yes
2,21/01/2026,ACT Fibernet – Duplicate Payment (VP-2026/009),"₹4,500.00",,Type A,Duplicate entry in Zoho,In bank: NO | In Zoho: YES | Cheque/deposit near period-end: NO | Possible duplicate entry: YES,Reverse/delete duplicate entry. Verify original entry is correct before reversing.,Yes
3,31/01/2026,Credit Interest – January 2026,,₹412.00,Type A,Missing bank-originated entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry (interest/charges): YES,Dr/Cr HDFC Current A/c ↔ Cr/Dr Interest Income or Bank Charges Expense.,Yes
4,31/01/2026,Bank Charges – QTR Maintenance + GST (Jan),,₹472.00,Type A,Missing bank-originated entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry (interest/charges): YES,Dr/Cr HDFC Current A/c ↔ Cr/Dr Interest Income or Bank Charges Expense.,Yes
5,11/01/2026,Mahadev Provisions – Cheque Deposit,"₹42,600.00","₹42,600.00",Match,No discrepancy,In bank: YES | In Zoho: YES | Prior-period item: NO | Amounts match: YES | Dates match (within 3 days): YES,None required.,No
6,05/02/2026,Office Rent – Ravi Menon (February SI),,"₹45,000.00",Type A,Missing standing instruction entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry: NO | Recurring standing instruction: YES,Post missing journal entry. Add SI to monthly verification checklist.,Yes
7,17/02/2026,Packaging Solutions India – NEFT,"₹36,800.00","₹38,600.00",Type A,"Wrong amount in Zoho (diff: ₹1,800.00)",In bank: YES | In Zoho: YES | Prior-period item: NO | Amounts match: NO | Confirmed bank error: NO,Correct amount in Zoho to match bank debit/credit. Verify against original invoice/contract.,Yes
8,28/02/2026,Credit Interest – February 2026,,₹385.00,Type A,Missing bank-originated entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry (interest/charges): YES,Dr/Cr HDFC Current A/c ↔ Cr/Dr Interest Income or Bank Charges Expense.,Yes
9,22/02/2026,Monsoon Hotels – Cheque Deposit,"₹215,300.00","₹215,300.00",Match,No discrepancy,In bank: YES | In Zoho: YES | Prior-period item: NO | Amounts match: YES | Dates match (within 3 days): YES,None required.,No
10,28/03/2026,Darjeeling Highland Tea – Cheque Issued,"₹22,500.00",,Type C,Outstanding / uncleared item,In bank: NO | In Zoho: YES | Cheque/deposit near period-end: YES,Disclose as outstanding item in BRS. Verify clearance in next statement.,No
11,31/03/2026,Credit Interest – March 2026,,₹428.00,Type A,Missing bank-originated entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry (interest/charges): YES,Dr/Cr HDFC Current A/c ↔ Cr/Dr Interest Income or Bank Charges Expense.,Yes
12,31/03/2026,Bank Charges – QTR Maintenance + GST (Mar),,₹590.00,Type A,Missing bank-originated entry in Zoho,In bank: YES | In Zoho: NO | Prior-period item: NO | Bank-generated entry (interest/charges): YES,Dr/Cr HDFC Current A/c ↔ Cr/Dr Interest Income or Bank Charges Expense.,Yes
